"text"|"label_str"|"label_bin"|"set"|"n_tokens"|"n_stopwords"|"n_chars"|"n_upper"|"emotion_label"|"emotion_score"
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor."|"true"|"0"|"train"|"21"|"8"|"122"|"5"|"neutral"|"0.9104322195053101"
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate."|"barely-true"|"1"|"train"|"19"|"7"|"117"|"3"|"sadness"|"0.5142922401428223"
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."""|"mostly-true"|"0"|"train"|"26"|"12"|"159"|"2"|"fear"|"0.7301528453826904"
"The only time in our history when the debt has been higher than this was the end of World War II."|"mostly-true"|"0"|"train"|"21"|"13"|"97"|"5"|"neutral"|"0.8778631091117859"
"The cost of health care is now the single-biggest factor driving down the federal budget deficit."|"mostly-true"|"0"|"train"|"16"|"7"|"97"|"1"|"neutral"|"0.6572741270065308"
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent."|"true"|"0"|"train"|"20"|"10"|"115"|"2"|"neutral"|"0.9283852577209473"
"On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings."|"false"|"1"|"train"|"13"|"5"|"87"|"5"|"fear"|"0.667419970035553"
"Says one out of three U.S. homeless men is a veteran."|"barely-true"|"1"|"train"|"11"|"4"|"53"|"3"|"neutral"|"0.7920258045196533"
"Says Charlie Crist supports cuts to the Medicare Advantage program."|"false"|"1"|"train"|"10"|"2"|"67"|"5"|"sadness"|"0.8724544644355774"
"I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States."|"half-true"|"1"|"train"|"33"|"15"|"187"|"5"|"neutral"|"0.41421014070510864"
"Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control."|"true"|"0"|"train"|"14"|"2"|"97"|"3"|"sadness"|"0.6164886355400085"
"At some point in their lives, 99% of women use birth control."|"half-true"|"1"|"train"|"12"|"5"|"61"|"1"|"neutral"|"0.938890814781189"
"In the past 20 years, Egypt has made great strides in political and democratic reform."|"false"|"1"|"train"|"15"|"5"|"86"|"2"|"neutral"|"0.7044503688812256"
"The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance."|"false"|"1"|"train"|"19"|"7"|"113"|"4"|"neutral"|"0.5127048492431641"
"Says U.S. Rep. Steve Southerland voted to keep the shutdown going."|"true"|"0"|"train"|"11"|"2"|"66"|"6"|"sadness"|"0.8393861651420593"
"In Rick Perrys Texas, we import nurses ... from other countries."|"half-true"|"1"|"train"|"11"|"4"|"64"|"4"|"neutral"|"0.8298593163490295"
"There is a federal criminal law that says its a crime to transport dentures across state lines."|"mostly-true"|"0"|"train"|"17"|"7"|"95"|"1"|"anger"|"0.3181445300579071"
"We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders."|"mostly-true"|"0"|"train"|"23"|"9"|"131"|"1"|"neutral"|"0.8127663731575012"
"Sen. McCain's tax plan provides ""virtually nothing to the middle class."""|"barely-true"|"1"|"train"|"11"|"2"|"72"|"3"|"neutral"|"0.5204839706420898"
"Austin is burdened by the fastest-growing tax increases of any major city in the nation."|"false"|"1"|"train"|"15"|"7"|"88"|"1"|"sadness"|"0.9050952196121216"
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world."|"false"|"1"|"train"|"11"|"4"|"63"|"3"|"neutral"|"0.8145975470542908"
"I belong to the AFL-CIO."|"true"|"0"|"train"|"5"|"3"|"24"|"7"|"neutral"|"0.8871148824691772"
"The insurance commissioner cant do squat about health care."|"mostly-true"|"0"|"train"|"9"|"3"|"59"|"1"|"neutral"|"0.47383517026901245"
"Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points."|"half-true"|"1"|"train"|"21"|"8"|"112"|"5"|"neutral"|"0.7266618013381958"
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon."|"barely-true"|"1"|"train"|"23"|"11"|"142"|"6"|"neutral"|"0.8373365998268127"
"Says David Jolly supports privatizing Social Security."|"barely-true"|"1"|"train"|"7"|"0"|"54"|"5"|"neutral"|"0.4805930256843567"
"Did you know US population growth is at its lowest since the Great Depression?"|"true"|"0"|"train"|"14"|"6"|"78"|"5"|"surprise"|"0.7721728682518005"
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones."|"mostly-true"|"0"|"train"|"29"|"16"|"161"|"2"|"neutral"|"0.846246600151062"
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history."|"true"|"0"|"train"|"18"|"9"|"101"|"2"|"sadness"|"0.831849217414856"
"A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender."|"mostly-true"|"0"|"train"|"35"|"15"|"199"|"1"|"neutral"|"0.39339905977249146"
"The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house."|"false"|"1"|"train"|"25"|"9"|"157"|"7"|"neutral"|"0.9343107342720032"
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years."|"pants-fire"|"1"|"train"|"21"|"8"|"127"|"2"|"neutral"|"0.6574342846870422"
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty."|"mostly-true"|"0"|"train"|"18"|"7"|"100"|"2"|"neutral"|"0.8249516487121582"
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism."|"mostly-true"|"0"|"train"|"32"|"13"|"194"|"9"|"fear"|"0.4607901871204376"
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO."|"false"|"1"|"train"|"34"|"17"|"166"|"11"|"fear"|"0.7316591739654541"
"""Sen. Obama has always had a 100 percent prochoice rating."""|"true"|"0"|"train"|"10"|"3"|"59"|"2"|"neutral"|"0.942942202091217"
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million."|"half-true"|"1"|"train"|"24"|"8"|"147"|"3"|"neutral"|"0.7059813141822815"
"The (federal) debt is growing by more than $4 billion a day."|"true"|"0"|"train"|"12"|"6"|"60"|"1"|"neutral"|"0.8177574872970581"
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers."|"half-true"|"1"|"train"|"19"|"6"|"123"|"4"|"neutral"|"0.863922119140625"
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old."|"false"|"1"|"train"|"18"|"9"|"95"|"2"|"neutral"|"0.866425096988678"
"Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions."|"mostly-true"|"0"|"train"|"19"|"6"|"132"|"2"|"neutral"|"0.8907333612442017"
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year."|"half-true"|"1"|"train"|"28"|"11"|"157"|"3"|"neutral"|"0.7273874878883362"
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody."|"half-true"|"1"|"train"|"21"|"8"|"132"|"8"|"neutral"|"0.8811307549476624"
"Says Obama promised unemployment would never go above 8 percent."|"barely-true"|"1"|"train"|"10"|"1"|"64"|"2"|"neutral"|"0.662001371383667"
"The economy is creating jobs at the fastest pace since 1999."|"true"|"0"|"train"|"11"|"4"|"60"|"1"|"neutral"|"0.5881119966506958"
"President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York."|"mostly-true"|"0"|"train"|"14"|"4"|"87"|"8"|"sadness"|"0.8438442945480347"
"In a majority of states, you can now marry freely, but can still be fired for who you love."|"mostly-true"|"0"|"train"|"19"|"12"|"91"|"1"|"neutral"|"0.7764734029769897"
"Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress."|"pants-fire"|"1"|"train"|"18"|"6"|"110"|"11"|"neutral"|"0.7743726968765259"
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency."""|"pants-fire"|"1"|"train"|"15"|"5"|"97"|"4"|"neutral"|"0.34986090660095215"
"About half of the presidents have been governors; half of them, senators."|"false"|"1"|"train"|"12"|"6"|"73"|"1"|"neutral"|"0.901671290397644"
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s."|"mostly-true"|"0"|"train"|"18"|"5"|"111"|"5"|"sadness"|"0.7490465641021729"
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years."|"mostly-true"|"0"|"train"|"15"|"5"|"87"|"1"|"sadness"|"0.4002152383327484"
"Says 88 Texas constables have died in the line of duty."|"true"|"0"|"train"|"11"|"4"|"55"|"2"|"sadness"|"0.9638742208480835"
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000."|"mostly-true"|"0"|"train"|"13"|"3"|"74"|"3"|"neutral"|"0.8759227395057678"
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions."|"mostly-true"|"0"|"train"|"20"|"8"|"122"|"2"|"neutral"|"0.8005714416503906"
"""As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man."""|"true"|"0"|"train"|"23"|"10"|"129"|"8"|"neutral"|"0.6699552536010742"
"You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now."|"mostly-true"|"0"|"train"|"20"|"11"|"102"|"1"|"neutral"|"0.699884295463562"
"The Air Force wants taxpayers to fund a fantasy football league."|"false"|"1"|"train"|"11"|"3"|"64"|"3"|"neutral"|"0.6792277097702026"
"Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes."|"pants-fire"|"1"|"train"|"15"|"3"|"93"|"5"|"neutral"|"0.5371422171592712"
"About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns."|"half-true"|"1"|"train"|"19"|"8"|"117"|"1"|"neutral"|"0.43404754996299744"
"Some neighborhood schools are closing."|"mostly-true"|"0"|"train"|"5"|"2"|"38"|"1"|"sadness"|"0.8558752536773682"
"""He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy."""|"mostly-true"|"0"|"train"|"19"|"6"|"115"|"4"|"neutral"|"0.8824470639228821"
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered."|"mostly-true"|"0"|"train"|"17"|"7"|"110"|"4"|"neutral"|"0.8633860349655151"
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years."|"barely-true"|"1"|"train"|"17"|"6"|"91"|"1"|"neutral"|"0.6582831144332886"
"Says the U.S. Supreme Court found that Social Security is not guaranteed."|"true"|"0"|"train"|"12"|"4"|"73"|"7"|"neutral"|"0.5396910905838013"
"SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado."|"false"|"1"|"train"|"14"|"3"|"99"|"6"|"sadness"|"0.4390422999858856"
"Oregonians have an amazing no-cost way to fight abortion with free political donations"|"true"|"0"|"train"|"13"|"4"|"86"|"1"|"neutral"|"0.8758068680763245"
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country."|"pants-fire"|"1"|"train"|"16"|"6"|"95"|"3"|"neutral"|"0.48592326045036316"
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support."|"barely-true"|"1"|"train"|"27"|"13"|"169"|"1"|"neutral"|"0.8796537518501282"
"Newt Gingrichs immigration plan offers a new doorway to amnesty."|"mostly-true"|"0"|"train"|"10"|"2"|"64"|"2"|"neutral"|"0.9209339618682861"
"Mr. Caprio is a career politician who has never worked in the private sector."|"false"|"1"|"train"|"14"|"6"|"77"|"2"|"neutral"|"0.9150382876396179"
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent."|"barely-true"|"1"|"train"|"26"|"9"|"150"|"5"|"neutral"|"0.9172251224517822"
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!"|"mostly-true"|"0"|"train"|"21"|"8"|"121"|"6"|"neutral"|"0.4959902763366699"
"President Obama took more money from Wall Street in the 2008 campaign than anybody ever had."|"mostly-true"|"0"|"train"|"16"|"5"|"92"|"4"|"neutral"|"0.7031302452087402"
"Donald Trump has said nuclear proliferation is OK."|"half-true"|"1"|"train"|"8"|"2"|"50"|"4"|"neutral"|"0.7421180009841919"
"""Hillary Clinton has taken over $800,000 from lobbyists."""|"true"|"0"|"train"|"8"|"3"|"57"|"2"|"neutral"|"0.39072343707084656"
"Barack Obama has never even worked in business."|"false"|"1"|"train"|"8"|"2"|"47"|"2"|"neutral"|"0.8443329930305481"
"Says the Arizona immigration law expressly bans racial profiling."|"half-true"|"1"|"train"|"9"|"1"|"65"|"2"|"neutral"|"0.9115875363349915"
"Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border."|"false"|"1"|"train"|"24"|"9"|"135"|"9"|"sadness"|"0.4651751220226288"
"On the VA: Over 300,000 veterans have died waiting for care."|"barely-true"|"1"|"train"|"11"|"5"|"60"|"4"|"sadness"|"0.9192069172859192"
"Were now spending 42 percent of our economy on government."|"mostly-true"|"0"|"train"|"10"|"5"|"58"|"1"|"neutral"|"0.3849157392978668"
"Rob Cornilles supports privatizing Medicare."|"barely-true"|"1"|"train"|"5"|"0"|"44"|"3"|"disgust"|"0.496608704328537"
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas."|"false"|"1"|"train"|"11"|"3"|"71"|"4"|"disgust"|"0.7820016741752625"
"We (Democrats) have made steady progress creating jobs and improving our schools."|"half-true"|"1"|"train"|"12"|"4"|"81"|"2"|"neutral"|"0.9084557890892029"
"Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there."|"pants-fire"|"1"|"train"|"26"|"13"|"160"|"2"|"sadness"|"0.5062257647514343"
"Whether you like to admit it or not, half our general revenue goes to education."|"true"|"0"|"train"|"15"|"6"|"80"|"1"|"neutral"|"0.788260817527771"
"Im the only one whos fought against developers draining the Everglades!"|"false"|"1"|"train"|"11"|"4"|"71"|"2"|"neutral"|"0.3817448616027832"
"Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program."|"half-true"|"1"|"train"|"15"|"4"|"89"|"6"|"disgust"|"0.41426074504852295"
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2."|"half-true"|"1"|"train"|"27"|"14"|"149"|"5"|"neutral"|"0.9067908525466919"
"Climate change is directly related to the growth of terrorism."|"barely-true"|"1"|"train"|"10"|"4"|"62"|"1"|"fear"|"0.924251139163971"
"The jobs bill includes President Obamas tax on soup kitchens"|"barely-true"|"1"|"train"|"10"|"2"|"60"|"3"|"neutral"|"0.8699281811714172"
"Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China."|"barely-true"|"1"|"train"|"16"|"4"|"106"|"4"|"neutral"|"0.7638354897499084"
"""While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed."""|"half-true"|"1"|"train"|"31"|"12"|"194"|"8"|"anger"|"0.6696266531944275"
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture."|"half-true"|"1"|"train"|"25"|"9"|"169"|"2"|"neutral"|"0.8866804242134094"
"We have more illegal immigrants here than we did five years ago."|"false"|"1"|"train"|"12"|"7"|"64"|"1"|"neutral"|"0.8684548139572144"
"Says Rick Perry wrote a letter supporting Hillarycare."|"barely-true"|"1"|"train"|"8"|"1"|"54"|"4"|"neutral"|"0.7946633100509644"
"The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name."|"false"|"1"|"train"|"14"|"4"|"97"|"8"|"neutral"|"0.7804471254348755"
